,Card,Color Identity,Week,Deck Score,Deck Legal,N Decks
636,seat of the synod,U,14,4.0,True,4
637,serum snare,U,14,4.0,True,3
638,chancellor of the tangle,G,14,4.0,True,17
639,mental misstep,U,14,2.3,True,20
640,nether spirit,B,14,2.3,True,1
641,snapback,U,14,2.3,True,2
642,silverbluff bridge,gold,14,2.3,True,4
643,burning inquiry,R,14,2.3,True,4
644,crack the earth,R,15,1.8,True,5
645,leyline of anticipation,U,15,1.8,True,5
646,cavern of souls,colorless,15,1.8,True,23
647,leyline of the guildpact,gold,15,1.8,True,11
648,bloodhall ooze,R,15,1.8,True,2
649,eldrazi temple,colorless,15,3.0,True,3
650,glaring fleshraker,colorless,15,3.0,True,1
651,mishra's factory,colorless,15,3.0,True,10
652,conjurer's bauble,colorless,15,3.0,True,11
653,"minamo, school at water's edge",U,15,2.8,True,1
654,"emrakul, the aeons torn",colorless,15,2.8,True,13
655,simian spirit guide,R,15,2.8,True,16
656,shelldock isle,U,15,2.8,True,5
657,merchant of the vale,R,15,2.8,True,2
658,mimic,colorless,15,0.5,True,1
659,ugin's labyrinth,colorless,15,0.5,True,5
660,"emrakul, the aeons torn",colorless,15,0.5,True,13
661,restore balance,W,15,0.5,True,3
662,as foretold,U,15,0.5,True,1
663,myr retriever,colorless,15,2.3,True,2
664,nephalia academy,colorless,15,2.3,True,5
665,lotus bloom,colorless,15,2.3,True,9
666,the sibsig ceremony,B,15,2.3,True,2
667,smallpox,B,15,2.8,True,6
668,dreadship reef,gold,15,2.8,True,5
669,"emrakul, the aeons torn",colorless,15,2.8,True,13
670,"urborg, tomb of yawgmoth",colorless,15,2.8,True,8
671,the underworld cookbook,colorless,15,2.8,True,5
672,"oko, thief of crowns",gold,15,3.8,True,5
673,chrome mox,colorless,15,3.8,True,18
674,seat of the synod,U,15,3.8,True,4
675,serum snare,U,15,3.8,True,3
676,chancellor of the tangle,G,15,3.8,True,17
677,stern scolding,U,15,3.3,True,1
678,path to exile,W,15,3.3,True,4
679,slippery bogle,gold,15,3.3,True,3
680,force of negation,U,15,3.3,True,8
681,seachrome coast,gold,15,3.3,True,4
682,misthollow griffin,U,16,4.2,True,1
683,calciform pools,gold,16,4.2,True,4
684,force of negation,U,16,4.2,True,8
685,snapback,U,16,4.2,True,2
686,mishra's factory,colorless,16,4.2,True,10
687,swamp,B,16,2.0,True,11
688,nephalia academy,colorless,16,2.0,True,5
689,persist,B,16,2.0,True,2
690,terastodon,G,16,2.0,True,1
691,the underworld cookbook,colorless,16,2.0,True,5
692,solitary confinement,W,16,0.8,True,1
693,helix pinnacle,G,16,0.8,True,3
694,forest,G,16,0.8,True,2
695,"squee, goblin nabob",R,16,0.8,True,1
696,lotus bloom,colorless,16,0.8,True,9
697,barren glory,W,16,3.0,True,1
698,solitude,W,16,3.0,True,6
699,sunscour,W,16,3.0,True,2
700,lotus bloom,colorless,16,3.0,True,9
701,memnite,colorless,16,0.1,True,4
702,leyline of anticipation,U,16,3.6,True,5
703,"emrakul, the aeons torn",colorless,16,3.6,True,13
704,shelldock isle,U,16,3.6,True,5
705,silverbluff bridge,gold,16,3.6,True,4
706,burning inquiry,R,16,3.6,True,4
707,leyline axe,colorless,16,3.3,True,3
708,salvage titan,B,16,3.3,True,2
709,metalwork colossus,colorless,16,3.3,True,2
710,darksteel citadel,colorless,16,2.0,True,3
711,yotia declares war,R,16,2.0,True,1
712,mox opal,colorless,16,2.0,True,8
713,pithing needle,colorless,16,2.0,True,7
714,tel-jilad stylus,colorless,16,2.0,True,3
715,peter parker's camera,colorless,16,2.0,True,1
716,mox opal,colorless,16,2.0,True,8
717,blisterspit gremlin,R,16,2.0,True,1
718,silverbluff bridge,gold,16,2.0,True,4
719,retraction helix,U,16,2.0,True,1
720,spell pierce,U,16,4.0,True,2
721,leyline of the guildpact,gold,16,4.0,True,11
722,leyline binding,W,16,4.0,True,3
723,crashing footfalls,G,16,4.0,True,7
724,gemstone caverns,colorless,16,4.0,True,2
725,swamp,B,17,2.6,True,11
726,force of despair,colorless,17,2.6,True,4
727,leyline of the void,B,17,2.6,True,2
728,unearth,B,17,2.6,True,1
729,"cecil, dark knight",gold,17,2.6,True,9
730,spell pierce,U,17,3.4,True,2
731,crashing footfalls,G,17,3.4,True,7
732,chancellor of the tangle,G,17,3.4,True,17
733,pithing needle,colorless,17,3.4,True,7
734,gemstone caverns,colorless,17,3.4,True,2
735,mental misstep,U,17,1.1,True,20
736,sleep-cursed faerie,U,17,1.1,True,13
737,fragmentize,W,17,1.1,True,1
738,seachrome coast,gold,17,1.1,True,4
739,seam rip,colorless,17,1.1,True,1
740,amulet of vigor,colorless,17,1.4,True,7
741,summer bloom,G,17,1.4,True,4
742,"vraska, relic seeker",gold,17,1.4,True,1
743,simian spirit guide,R,17,1.4,True,16
744,golgari rot farm,gold,17,1.4,True,1
745,tragic trajectory,B,17,2.0,True,1
746,mental misstep,U,17,2.0,True,20
747,conjurer's bauble,colorless,17,2.0,True,11
748,sleep-cursed faerie,U,17,2.0,True,13
749,darkslick shores,gold,17,2.0,True,4
750,sea's claim,U,17,3.4,True,2
751,stream of thought,U,17,3.4,True,2
752,"cecil, dark knight",gold,17,3.4,True,9
753,force of negation,U,17,3.4,True,8
754,darkslick shores,gold,17,3.4,True,4
755,nephalia academy,colorless,17,2.5,True,5
756,force of vigor,G,17,2.5,True,2
757,crashing footfalls,G,17,2.5,True,7
758,chancellor of the tangle,G,17,2.5,True,17
759,pithing needle,colorless,17,2.5,True,7
760,botanical sanctum,gold,17,3.2,True,5
761,force of vigor,G,17,3.2,True,2
762,sleep-cursed faerie,U,17,3.2,True,13
763,meltstrider's resolve,G,17,3.2,True,1
764,crashing footfalls,G,17,3.2,True,7
765,snow-covered island,U,17,2.8,True,1
766,"oko, thief of crowns",gold,17,2.8,True,5
767,chrome mox,colorless,17,2.8,True,18
768,serum snare,U,17,2.8,True,3
769,chancellor of the tangle,G,17,2.8,True,17
770,helix pinnacle,G,17,2.8,True,3
771,conjurer's bauble,colorless,17,2.8,True,11
772,path to exile,W,17,2.8,True,4
773,pick your poison,gold,17,2.8,True,3
774,razorverge thicket,gold,17,2.8,True,2
775,magus of the moon,R,18,2.0,True,3
776,simian spirit guide,R,18,2.0,True,16
777,leyline of anticipation,U,18,2.0,True,5
778,hall of the bandit lord,colorless,18,2.4,True,1
779,death's shadow,B,18,2.4,True,3
780,mental misstep,U,18,2.4,True,20
781,lotus bloom,colorless,18,2.4,True,9
782,"xu-ifit, osteoharmonist",B,18,2.4,True,1
783,abraded bluffs,gold,18,2.0,True,1
784,rite of flame,R,18,2.0,True,3
785,stormscale scion,R,18,2.0,True,1
786,hope-ender coatl,U,18,3.0,True,3
787,eye of ugin,colorless,18,3.0,True,6
788,eldrazi temple,colorless,18,3.0,True,3
789,leyline of the guildpact,gold,18,3.0,True,11
790,reality smasher,colorless,18,3.0,True,1
791,death's shadow,B,18,3.4,True,3
792,mental misstep,U,18,3.4,True,20
793,noxious revival,G,18,3.4,True,1
794,dismember,B,18,3.4,True,4
795,city of brass,colorless,18,3.4,True,1
796,"boseiju, who endures",G,18,2.2,True,10
797,"emrakul, the aeons torn",colorless,18,2.2,True,13
798,the underworld cookbook,colorless,18,2.2,True,5
799,mox opal,colorless,18,2.2,True,8
800,urza's saga,colorless,18,2.2,True,3
801,inkmoth nexus,colorless,18,1.5,True,3
802,mana leak,U,18,1.5,True,1
803,mana tithe,W,18,1.5,True,3
804,seachrome coast,gold,18,1.5,True,4
805,blighted agent,U,18,1.5,True,1
806,keldon megaliths,R,18,3.0,True,1
807,fury,R,18,3.0,True,2
808,ancient grudge,gold,18,3.0,True,1
809,fungal reaches,gold,18,3.0,True,2
810,burning inquiry,R,18,3.0,True,4
811,reverberate,R,18,1.8,True,1
812,sorin's vengeance,B,18,1.8,True,1
813,lotus bloom,colorless,18,1.8,True,9
814,mental misstep,U,18,3.6,True,20
815,scoured barrens,gold,18,3.6,True,1
816,"phelia, exuberant shepherd",colorless,18,3.6,True,2
817,momentum breaker,B,18,3.6,True,1
818,mishra's factory,colorless,18,3.6,True,10
819,sunken citadel,colorless,19,3.3,True,6
820,academy ruins,U,19,3.3,True,4
821,the filigree sylex,colorless,19,3.3,True,5
822,dismember,B,19,3.3,True,4
823,field of ruin,colorless,19,3.3,True,2
824,nephalia academy,colorless,19,0.9,True,5
825,leyline of the guildpact,gold,19,0.9,True,11
826,kessig wolf run,gold,19,0.9,True,1
827,freed from the real,U,19,0.9,True,2
828,bloom tender,G,19,0.9,True,1
829,mental misstep,U,19,3.8,True,20
830,vexing bauble,colorless,19,3.8,True,1
831,sleep-cursed faerie,U,19,3.8,True,13
832,cavern of souls,colorless,19,3.8,True,23
833,dismember,B,19,3.8,True,4
834,force of negation,U,19,3.0,True,8
835,island,U,19,3.0,True,12
836,restless bivouac,gold,19,3.0,True,1
837,wind zendikon,U,19,3.0,True,1
838,phyrexian tower,B,19,1.3,True,4
839,"sorin, imperious bloodlord",B,19,1.3,True,2
840,vein ripper,B,19,1.3,True,2
841,chancellor of the forge,R,19,1.3,True,4
842,chancellor of the tangle,G,19,1.3,True,17
843,phyrexian tower,B,19,0.0,True,4
844,myr retriever,colorless,19,0.0,True,2
845,bojuka bog,B,19,0.0,True,1
846,the sibsig ceremony,B,19,0.0,True,2
847,hope-ender coatl,U,19,3.6,True,3
848,flare of malice,B,19,3.6,True,1
849,eye of ugin,colorless,19,3.6,True,6
850,leyline of the guildpact,gold,19,3.6,True,11
851,mental misstep,U,19,3.6,True,20
852,botanical sanctum,gold,19,3.6,True,5
853,subtlety,U,19,3.6,True,1
854,commandeer,U,19,3.6,True,2
855,crashing footfalls,G,19,3.6,True,7
856,mental misstep,U,19,3.0,True,20
857,hexdrinker,G,19,3.0,True,1
858,commandeer,U,19,3.0,True,2
859,cavern of souls,colorless,19,3.0,True,23
860,force of negation,U,19,3.0,True,8
